TransactionID,Date,Amount,Merchant,Category,Location,CardType,IsFraud
4685c4e2-2052-497b-845d-71e43f448888,2025-02-18 09:55:32,745.43,"Reed, Booth and Hill",Travel,West Amyhaven,Visa,0
fd6ba6db-850f-4fb1-8cf2-dcc7ae7b5f29,2025-03-19 22:58:56,662.21,Chapman-Long,Clothing,Port Bradleybury,Visa,0
377a1cf7-af24-44da-be68-20c689549814,2025-03-24 06:52:00,973.75,Smith Inc,Clothing,Ritterland,Amex,0
ad0a80ba-9d25-478c-b553-81463f282e70,2025-04-02 07:18:51,545.93,"Ho, Garcia and Mccoy",Travel,Kempview,Visa,0
cae38511-2f76-4e77-adfd-c453ed7e435d,2025-03-07 22:32:11,488.06,Meyer-Crawford,Travel,Markville,MasterCard,0
6d2ba9c1-d715-432a-88df-a7aec33cae24,2025-03-02 21:33:39,676.69,Lopez-Cross,Tech,Roweside,MasterCard,0
de42b77f-b121-4b40-9b39-f5715e32b12e,2025-04-04 00:51:52,959.34,"Thornton, Foster and Pope",Clothing,Matthewsberg,Amex,1
78f7d2eb-0853-419e-8330-6f374f48580a,2025-02-24 18:23:42,498.54,"Gates, Johnson and Jones",Entertainment,Port Ninafort,Amex,0
d8d2ec98-bd79-463b-a6c2-f5c1dbf83b63,2025-02-07 09:17:50,175.91,Thompson-Jenkins,Entertainment,Margarethaven,MasterCard,0
d71ffb35-0669-41fe-8f45-c41a3a862185,2025-01-10 05:32:32,32.54,"Reed, Becker and Stewart",Entertainment,Lake Scottfurt,Visa,0
1e1dc55e-8bef-418d-9104-258d2d16eda8,2025-03-06 22:20:24,449.46,"Ferguson, Villa and Daniel",Health,East Joanport,Amex,0
4fabf67f-9bf4-4b31-a3a7-d6536143bd4e,2025-02-24 08:11:51,346.68,"Roberson, Fischer and Peterson",Health,Jamesburgh,MasterCard,0
033dfe63-4d0f-4254-86ae-a2616346b721,2025-02-16 18:07:19,576.22,Mccarthy-Riley,Clothing,Lake Robert,MasterCard,0
f123d225-d00b-40f5-a509-c570e1d30aa4,2025-03-06 09:51:55,835.08,Suarez PLC,Clothing,Lisabury,Visa,0
aa465f49-426f-4276-8a5f-2af04517fd09,2025-01-26 18:25:22,584.59,Evans-Young,Health,Johnsonview,Amex,0
a1441c0e-3d90-4120-bc3d-2477ecc4c07c,2025-03-01 14:11:39,636.98,"Carlson, Patterson and Tucker",Health,Sandraton,MasterCard,0
db84afd1-3184-4d09-8500-df944b5f5c9b,2025-01-04 18:19:40,53.35,Salazar-Harrison,Entertainment,Port Kathleenshire,MasterCard,0
b94c57ef-44d6-4932-b9d2-2719bf90cd82,2025-03-25 22:19:37,490.36,Delacruz-Garrison,Health,Adambury,MasterCard,0
188fd934-d355-4c3b-a993-d7e9a3e00f63,2025-03-01 15:04:30,941.53,"Hall, Willis and Murray",Tech,Gardnerville,Visa,0
7d037e73-2b0d-43d5-a31b-7713a8c67336,2025-02-28 05:09:27,196.35,"Allen, Dickerson and Butler",Food,Nortonmouth,Visa,1
bc582870-47a7-46c6-b0fb-0fbea2731099,2025-03-26 03:31:08,351.75,Wilson-Lutz,Entertainment,East Christopherchester,Visa,0
